@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {border,not-border}

@data
0.805916,0.842374,3.956652,-4.099621,0.41898,0.700732,-4.800354,0.146088,254.304688,15.130974,0.802652,0.836175,3.889735,-4.038128,0.429624,0.681675,-4.719803,0.149682,237.878601,14.587982,0.782551,0.80308,3.463878,-3.653466,0.518753,0.547377,-4.200844,0.169557,150.467285,11.272802,0.020101,0.729738,0.737763,2.46506,-2.736227,0.61227,0.219,-2.955227,0.197154,37.718124,5.037857,0.072914,0.052813,0.61044,0.537508,1.060861,-1.293449,0.259519,-0.083283,-1.210166,0.218963,1.062248,0.634933,0.192213,0.172111,0.119299,0.457922,0.285543,0.221349,-0.29876,0.020104,-0.082889,-0.215871,0.078813,0.000789,0.008842,0.34473,0.324629,0.271816,0.152517,0.564093,0.762699,0.481988,5.64093,0.090401,0.525322,border
0.875919,0.340007,3.823522,-3.883738,-0.051959,0.823204,-4.706942,0.197857,230.644348,15.291253,0.872471,0.348372,3.746204,-3.829697,0.04782,0.775439,-4.605136,0.1977,212.30304,14.475296,0.851576,0.393741,3.293742,-3.514832,0.567817,0.487887,-4.002719,0.196496,124.562988,10.082773,0.020895,0.800008,0.446943,2.506903,-2.883261,0.935851,0.069957,-2.953218,0.189842,37.989586,4.569793,0.072463,0.051568,0.667774,0.408917,1.205801,-1.497736,0.386858,-0.159046,-1.33869,0.151771,1.560781,0.695779,0.204697,0.183802,0.132234,0.49147,0.258941,0.25875,-0.346364,0.026491,-0.089508,-0.256855,-0.04883,0.00168,0.014002,0.381001,0.360106,0.308538,0.176304,0.612019,0.776822,0.529913,6.120191,0.088957,0.576814,border
0.86481,0.341691,1.801518,-1.851761,-0.097593,0.456037,-2.307798,0.340649,13.096769,3.819391,0.865413,0.335263,1.830573,-1.924841,0.00171,0.397391,-2.322232,0.3317,13.701773,3.698173,0.863209,0.304015,1.98298,-2.292677,0.552965,0.087459,-2.380136,0.282527,16.003077,3.044511,0.002204,0.829783,0.278552,1.976193,-2.452697,1.016106,-0.238599,-2.214098,0.205922,11.738463,1.951298,0.035631,0.033426,0.706433,0.284095,1.180217,-1.519257,0.455968,-0.267556,-1.251701,0.082859,1.117767,0.484271,0.158981,0.156776,0.12335,0.521333,0.228448,0.284836,-0.380172,0.031497,-0.093799,-0.286372,-0.149987,0.00268,0.018542,0.34408,0.341876,0.30845,0.185099,0.646826,0.748449,0.570353,6.468262,0.072555,0.628375,border
0.854164,0.406168,0.594481,-0.682094,0.036824,0.057674,-0.739768,1.187834,0.14793,0.317957,0.853292,0.402605,0.632681,-0.774426,0.080809,-0.015393,-0.759033,1.154414,0.165827,0.2765,0.850128,0.376083,0.941231,-1.303655,0.389236,-0.384833,-0.918822,0.845658,0.242303,0.142572,0.003164,0.830003,0.289317,1.33668,-1.849567,0.812153,-0.631281,-1.218286,0.249707,0.589377,0.172287,0.023289,0.020125,0.727215,0.19294,1.025031,-1.385201,0.433712,-0.38934,-0.995861,-0.060463,0.352928,0.183934,0.126077,0.122913,0.102788,0.547152,0.195621,0.300085,-0.400654,0.034628,-0.09542,-0.305233,-0.244697,0.003533,0.022011,0.306139,0.302976,0.282851,0.180062,0.671194,0.743096,0.604505,6.711938,0.049189,0.665503,border
0.8452,0.406058,1.141613,-1.330574,0.222366,-0.0016,-1.328974,-1.40845,1.559678,0.880962,0.843669,0.403231,1.124672,-1.308962,0.214447,-0.000419,-1.308543,-1.417033,1.465959,0.855594,0.834221,0.390307,1.053522,-1.24945,0.220399,-0.041832,-1.207618,-1.445678,1.060829,0.679529,0.009448,0.813999,0.324409,1.039057,-1.398755,0.431635,-0.36028,-1.038475,-1.316777,0.449948,0.229974,0.02967,0.020222,0.733428,0.152743,0.82293,-1.149957,0.315942,-0.403759,-0.746198,-0.630886,0.077535,0.058632,0.110241,0.100793,0.080571,0.568769,0.161816,0.306564,-0.409883,0.035805,-0.093617,-0.316267,-0.337018,0.004164,0.024786,0.2749,0.265452,0.24523,0.164659,0.686649,0.737299,0.631782,6.866492,0.034363,0.689528,border
0.82398,0.378733,1.631747,-1.855997,0.282297,0.147998,-2.003996,-1.240865,7.976397,2.315539,0.822798,0.37858,1.593883,-1.797142,0.239371,0.167317,-1.964459,-1.243551,7.338676,2.272234,0.813462,0.372677,1.398569,-1.473084,0.019211,0.286476,-1.75956,-1.26191,4.542045,2.093132,0.009336,0.791254,0.316988,1.127491,-1.143974,-0.03851,0.283207,-1.427182,-1.273922,1.914223,1.462716,0.031544,0.022207,0.72991,0.14054,0.685453,-0.875964,0.128637,-0.082479,-0.793485,-1.109205,0.193949,0.252765,0.092888,0.083552,0.061344,0.586184,0.128028,0.307266,-0.411132,0.035388,-0.088353,-0.322779,-0.422359,0.004645,0.027478,0.236615,0.227278,0.205071,0.143726,0.696238,0.766437,0.62897,6.962381,0.050575,0.687598,border
0.805224,0.312867,1.927209,-1.639113,-0.913728,0.961118,-2.600231,-1.175791,17.037935,6.341603,0.80229,0.314227,1.894482,-1.596589,-0.902954,0.956828,-2.553417,-1.179451,15.704757,6.160913,0.787926,0.312952,1.717893,-1.370774,-0.818915,0.920023,-2.290797,-1.208685,9.685757,5.154683,0.014364,0.767483,0.264852,1.361376,-0.960362,-0.603426,0.81133,-1.771691,-1.264455,3.076774,3.335999,0.034807,0.020443,0.721965,0.119862,0.688619,-0.619326,-0.082306,0.287324,-0.90665,-1.220723,0.2734,0.712787,0.080325,0.065962,0.045519,0.599504,0.094807,0.305344,-0.408243,0.034083,-0.080972,-0.32727,-0.492275,0.005055,0.030331,0.202786,0.188422,0.167979,0.122461,0.701075,0.808048,0.590795,7.010748,0.08098,0.691414,border
0.774003,0.210497,2.183253,-0.97107,-2.50332,1.855005,-2.826075,-1.212249,10.331499,10.956259,0.771848,0.205835,2.167123,-0.988329,-2.421886,1.814984,-2.803314,-1.217436,10.416873,10.664339,0.762605,0.194006,2.050678,-1.046145,-1.962649,1.591758,-2.637903,-1.246863,9.789595,8.945013,0.009243,0.747679,0.1715,1.616065,-0.777811,-1.205307,1.258246,-2.036057,-1.282195,3.282811,5.426218,0.024169,0.014926,0.714435,0.077635,0.778217,-0.423398,-0.265331,0.575889,-0.999287,-1.261478,0.222396,1.240589,0.057413,0.04817,0.033244,0.608874,0.062262,0.30345,-0.40492,0.032733,-0.07395,-0.33097,-0.539273,0.005416,0.03303,0.162974,0.153731,0.138805,0.105561,0.701737,0.835938,0.556812,7.017372,0.108741,0.701678,border
0.737602,0.060989,2.415553,-0.692483,-2.973368,2.141027,-2.833509,-1.344531,5.933256,12.373005,0.740556,0.052429,2.411639,-0.739495,-2.93507,2.108874,-2.848369,-1.341703,6.71925,12.287132,0.748743,0.034432,2.333538,-0.894849,-2.634744,1.933723,-2.828572,-1.326447,9.080338,11.339729,-0.008187,0.737176,0.045659,1.812908,-0.649135,-1.650281,1.549266,-2.198401,-1.310184,2.959118,7.022502,0.00338,0.011567,0.711007,0.020258,0.854743,-0.318173,-0.375643,0.736403,-1.054577,-1.278737,0.16236,1.603805,0.029549,0.037736,0.026169,0.614413,0.030154,0.303384,-0.40406,0.032077,-0.069826,-0.334234,-0.559105,0.005707,0.034956,0.126143,0.13433,0.122763,0.096594,0.702657,0.858792,0.540242,7.026569,0.125152,0.712745,border
0.768039,0.175117,2.650169,-1.308524,-2.783395,1.880084,-3.188608,-1.427788,21.99505,12.845817,0.766135,0.167225,2.628224,-1.279304,-2.776458,1.884477,-3.163781,-1.419752,20.854542,12.742451,0.756532,0.132126,2.457307,-1.105314,-2.616983,1.864951,-2.970265,-1.377036,14.281486,11.689654,0.009603,0.73997,0.094086,1.876719,-0.653042,-1.744873,1.597792,-2.250833,-1.331019,3.158369,7.405957,0.026165,0.016562,0.713732,0.053118,0.865757,-0.321286,-0.383992,0.744673,-1.065959,-1.282664,0.169205,1.639194,0.052403,0.042799,0.026238,0.616166,0.003234,0.306043,-0.407209,0.032532,-0.070015,-0.337193,-0.550402,0.005918,0.035692,0.149969,0.140366,0.123805,0.097567,0.705254,0.86745,0.535809,7.052537,0.126074,0.714827,border
0.79567,0.250712,2.689977,-2.007365,-1.812885,1.371297,-3.378662,-1.372874,45.457191,11.281054,0.792966,0.253579,2.639204,-1.922107,-1.842054,1.39083,-3.312937,-1.372364,40.871124,11.062712,0.77882,0.258303,2.359261,-1.466608,-1.902632,1.475934,-2.942543,-1.36514,20.996332,9.761469,0.014146,0.756771,0.223923,1.791289,-0.794791,-1.450836,1.396349,-2.19114,-1.337848,4.06497,6.435039,0.036195,0.022049,0.72274,0.113022,0.808209,-0.437534,-0.282689,0.594311,-1.031845,-1.273682,0.253115,1.322192,0.070227,0.05608,0.034032,0.614078,0.035235,0.311456,-0.414257,0.03406,-0.074146,-0.34011,-0.514036,0.00607,0.035368,0.178889,0.164742,0.142694,0.108662,0.708191,0.857095,0.546509,7.081912,0.112125,0.715922,border
0.823861,0.32356,2.344403,-1.990269,-0.985868,0.99291,-2.983179,-1.326105,31.311634,7.904641,0.821854,0.328761,2.310769,-1.932649,-1.012767,1.006769,-2.939419,-1.328941,29.082502,7.786201,0.808313,0.350301,2.108247,-1.574775,-1.153432,1.095914,-2.670689,-1.343445,17.591663,7.093648,0.013541,0.784986,0.325231,1.605859,-1.028758,-0.875612,0.995719,-2.024477,-1.337471,4.826883,4.560792,0.036868,0.023327,0.736138,0.153549,0.73227,-0.656309,-0.089257,0.299448,-0.955757,-1.243411,0.339325,0.78777,0.085716,0.072175,0.048848,0.607997,0.069338,0.318711,-0.42344,0.036179,-0.080221,-0.343219,-0.453613,0.006201,0.034584,0.213857,0.200316,0.176989,0.128142,0.709315,0.827417,0.568088,7.093153,0.087206,0.717048,border
